customer_id,customer_name,customer_segment,region,city,join_date,customer_status,loyalty_tier,customer_rating,churn_risk,preferred_payment_method,total_orders,total_spend,average_order_value
C0019,Rohan Kakar,Retail,East,Patna,2026-01-19,Active,Silver,4.5,Medium,Debit Card,2.0,158300.41,79150.205
C0020,Pratyush Batra,Online,West,Pune,2025-12-25,Inactive,Platinum,4.2,Medium,Wallet,2.0,122169.32,61084.66
C0021,Harrison Tata,Online,North,Jaipur,2022-08-09,Active,Gold,4.6,High,Credit Card,2.0,244396.43,122198.215
C0022,Zayan D’Alia,Retail,South,Hyderabad,2022-10-07,Inactive,Platinum,3.1,High,Net Banking,3.0,99227.68000000001,33075.89333333333
C0023,Kalpit Ramachandran,Online,South,Hyderabad,2024-04-26,Active,Platinum,4.9,Low,UPI,1.0,84815.04,84815.04
C0024,Vamakshi Dubey,Retail,West,Pune,2025-11-18,Active,Silver,3.0,High,COD,0.0,0.0,0.0
C0025,Vanya Garde,Online,South,Chennai,2026-05-06,Active,Platinum,4.4,Low,COD,5.0,568802.97,113760.594
C0026,Nathan Butala,Retail,South,Chennai,2024-08-20,Active,Platinum,3.6,Low,Credit Card,4.0,223696.64,55924.16
C0027,Abeer Gara,Wholesale,West,Pune,2023-10-23,Active,Silver,4.0,Medium,Wallet,0.0,0.0,0.0
C0028,Tanish Dyal,Retail,South,Hyderabad,2022-08-03,Active,Gold,3.5,Medium,UPI,4.0,306669.65,76667.4125
C0029,Jairaj Sawhney,Online,South,Chennai,2022-08-24,Inactive,Platinum,3.7,Low,Net Banking,4.0,161243.66999999998,40310.917499999996
C0030,Ekanta Guha,Online,East,Bhubaneswar,2023-01-04,Active,Gold,3.0,Medium,Net Banking,1.0,66142.18,66142.18
C0031,Hiral Chandran,Online,East,Kolkata,2024-07-29,Inactive,Gold,4.3,Low,Credit Card,5.0,226050.94,45210.188
C0032,Ekiya Pandya,Wholesale,East,Patna,2025-10-19,Active,Silver,4.7,Low,Wallet,4.0,359307.99,89826.9975
C0033,Pahal Kanda,Retail,North,Jaipur,2025-07-27,Inactive,Gold,4.7,High,Net Banking,1.0,15344.02,15344.02
C0034,Unni Ghose,Wholesale,South,Chennai,2022-12-18,Inactive,Platinum,4.4,Medium,COD,5.0,497546.45,99509.29000000001
C0035,Dominic Grover,Online,South,Bengaluru,2025-08-10,Active,Gold,4.0,High,Debit Card,3.0,154065.63,51355.21
C0036,Harish Choudhary,Retail,West,Mumbai,2025-07-21,Inactive,Gold,4.2,Low,UPI,7.0,386594.85,55227.83571428571
C0037,Yashoda Murthy,Online,South,Hyderabad,2024-05-30,Active,Gold,5.0,Low,Wallet,3.0,169304.91,56434.97
C0038,Udarsh Raman,Wholesale,South,Bengaluru,2023-06-19,Active,Platinum,3.5,Medium,Debit Card,7.0,601244.54,85892.07714285715
C0039,Aishani Chana,Wholesale,East,Bhubaneswar,2026-02-04,Inactive,Gold,4.4,High,Credit Card,2.0,127821.7,63910.85
C0040,Laban Sodhi,Retail,North,Jaipur,2023-01-25,Active,Gold,3.4,Medium,Debit Card,3.0,383537.33999999997,127845.77999999998
C0041,Zashil Aurora,Retail,East,Kolkata,2026-03-11,Active,Silver,3.3,Medium,UPI,6.0,304252.22,50708.70333333333
C0042,Qasim Kapur,Wholesale,East,Kolkata,2023-04-09,Active,Platinum,3.0,High,Wallet,2.0,104326.87,52163.435
C0043,Kashish Sen,Retail,East,Kolkata,2024-06-24,Active,Silver,3.7,High,UPI,2.0,89475.0,44737.5
C0044,Praneel Nagi,Online,West,Pune,2023-04-07,Active,Silver,4.9,Low,Debit Card,1.0,57542.31,57542.31
C0045,Frado Lall,Retail,North,Jaipur,2023-12-16,Inactive,Platinum,4.5,Low,Credit Card,4.0,352412.19,88103.0475
C0046,Forum Rajagopalan,Online,South,Chennai,2025-04-23,Active,Silver,4.5,Medium,COD,3.0,113767.11,37922.37
C0047,Meera Morar,Online,South,Chennai,2026-05-22,Active,Gold,4.0,Low,Net Banking,5.0,385430.18000000005,77086.03600000001
C0048,Chaitanya Bansal,Wholesale,East,Patna,2023-04-01,Active,Gold,3.5,High,Credit Card,3.0,292701.97000000003,97567.32333333335
C0049,Bishakha Balasubramanian,Wholesale,North,Jaipur,2024-02-12,Active,Silver,4.7,High,Net Banking,4.0,320324.49,80081.1225
C0050,Ayush Sanghvi,Wholesale,South,Bengaluru,2023-09-11,Active,Silver,4.5,High,Wallet,4.0,353277.88,88319.47
C0051,Dalbir Jha,Retail,East,Bhubaneswar,2024-06-26,Active,Silver,4.1,Low,Debit Card,6.0,348753.7,58125.61666666667
C0052,Samarth D’Alia,Wholesale,South,Chennai,2024-05-16,Inactive,Platinum,3.1,Medium,Credit Card,6.0,251257.41999999998,41876.236666666664
C0053,Jonathan Mammen,Retail,West,Pune,2024-10-02,Active,Platinum,4.6,Low,Debit Card,2.0,90486.55,45243.275
C0054,Priya Toor,Retail,North,Delhi,2022-08-22,Active,Gold,3.6,Medium,Credit Card,3.0,282366.75,94122.25
C0055,Avni Yohannan,Wholesale,East,Kolkata,2022-09-29,Active,Silver,3.8,Medium,Debit Card,1.0,18326.92,18326.92
C0056,Mekhala Gopal,Retail,North,Chandigarh,2025-08-23,Active,Silver,3.5,Medium,COD,3.0,332940.05000000005,110980.01666666668
C0057,Amrita Dhingra,Online,East,Kolkata,2024-10-07,Active,Gold,4.1,High,COD,5.0,374296.25,74859.25
C0058,Ronith Sood,Wholesale,East,Kolkata,2025-07-09,Active,Gold,4.7,High,COD,1.0,28547.48,28547.48
C0059,Ayushman Gokhale,Wholesale,East,Kolkata,2023-04-14,Inactive,Silver,4.1,Low,Wallet,3.0,216169.18,72056.39333333333
C0060,Reyansh Dube,Online,South,Chennai,2025-07-12,Inactive,Silver,4.1,Low,Wallet,1.0,117243.04,117243.04
C0061,Ekaraj Kaul,Wholesale,South,Chennai,2022-08-09,Active,Platinum,3.2,Low,UPI,1.0,27396.01,27396.01
C0062,Fariq Nayak,Wholesale,West,Pune,2025-05-02,Inactive,Platinum,4.7,Medium,Debit Card,4.0,177424.88999999998,44356.222499999996
C0063,Ekapad Arora,Online,West,Ahmedabad,2025-08-09,Active,Gold,3.0,Low,Credit Card,3.0,221552.64,73850.88
C0064,Odika Shukla,Wholesale,South,Chennai,2026-05-28,Active,Platinum,4.5,Low,Wallet,3.0,251201.75,83733.91666666667
C0065,Vyanjana Shere,Wholesale,North,Delhi,2023-05-24,Active,Silver,3.4,Medium,Debit Card,3.0,248701.01,82900.33666666667
C0066,Laksh Oommen,Wholesale,North,Delhi,2025-01-18,Inactive,Gold,3.3,High,Net Banking,1.0,59320.65,59320.65
C0067,Yashodhara Badami,Online,North,Chandigarh,2023-05-12,Active,Platinum,3.9,Low,COD,4.0,318148.05000000005,79537.01250000001
C0068,Vaishnavi Sanghvi,Online,South,Chennai,2026-02-24,Active,Gold,4.4,Low,Credit Card,3.0,171384.4,57128.13333333333
C0069,Zarna Behl,Online,West,Mumbai,2024-01-09,Active,Silver,4.4,Low,Credit Card,4.0,126319.60999999999,31579.902499999997
C0070,Andrew Mistry,Wholesale,West,Mumbai,2024-07-16,Inactive,Platinum,4.5,Low,Wallet,4.0,299913.32,74978.33
C0071,Jason Dutt,Retail,East,Patna,2024-09-22,Active,Silver,3.6,Low,Credit Card,7.0,577063.39,82437.62714285715
C0072,Waida Chokshi,Retail,South,Bengaluru,2025-07-03,Active,Gold,3.2,Medium,Credit Card,6.0,830813.44,138468.90666666665
C0073,Daksha Saha,Wholesale,West,Mumbai,2024-04-05,Active,Platinum,4.0,High,Credit Card,2.0,182142.14,91071.07
C0074,Logan Rajagopal,Online,South,Chennai,2023-02-08,Active,Silver,3.9,Medium,UPI,3.0,175195.43,58398.47666666666
C0075,Arin Lala,Online,South,Hyderabad,2024-05-19,Active,Platinum,3.3,High,UPI,4.0,282793.72,70698.43
C0076,Gopal Dey,Online,East,Bhubaneswar,2024-02-16,Active,Platinum,4.6,Low,Credit Card,4.0,260204.81,65051.2025
C0077,Riya Kata,Retail,West,Ahmedabad,2024-11-27,Active,Gold,3.9,Low,Credit Card,2.0,324826.32,162413.16
C0078,Priya Padmanabhan,Retail,South,Bengaluru,2023-03-03,Active,Platinum,4.7,Low,UPI,5.0,404369.04,80873.80799999999
C0079,Jhalak Anne,Online,East,Patna,2026-03-16,Active,Gold,4.4,Medium,Wallet,5.0,247327.66,49465.532
C0080,Orinder Baria,Retail,West,Pune,2024-04-22,Active,Silver,3.4,High,Credit Card,3.0,290668.94,96889.64666666667
C0081,Bhavna Narayan,Wholesale,South,Hyderabad,2023-04-14,Active,Platinum,3.4,Medium,Net Banking,1.0,21637.82,21637.82
C0082,Yatan Nagarajan,Online,North,Delhi,2025-06-26,Inactive,Platinum,3.4,Medium,Wallet,4.0,177413.15,44353.2875
C0083,Veer Sankar,Wholesale,West,Pune,2025-06-30,Active,Gold,3.4,Low,COD,6.0,506345.25,84390.875
C0084,Anjali Tara,Wholesale,South,Bengaluru,2024-03-19,Active,Gold,3.1,Medium,COD,2.0,209897.95,104948.975
C0085,Saanvi More,Wholesale,East,Bhubaneswar,2024-09-11,Inactive,Silver,3.6,High,Wallet,2.0,306593.75,153296.875
C0086,Gautam Ratti,Wholesale,North,Jaipur,2025-12-08,Active,Platinum,3.2,Low,Net Banking,2.0,185475.04,92737.52
C0087,Tara Dayal,Online,West,Mumbai,2024-10-20,Active,Platinum,3.6,Medium,UPI,1.0,40025.1,40025.1
C0088,Balendra Mall,Online,North,Chandigarh,2024-03-29,Active,Silver,4.1,Medium,Wallet,2.0,118669.3,59334.65
C0089,Yashasvi Tripathi,Wholesale,West,Pune,2024-05-03,Active,Gold,3.6,Medium,COD,4.0,456119.93,114029.9825
C0090,Wahab Minhas,Wholesale,East,Kolkata,2023-06-03,Active,Silver,4.2,Medium,Debit Card,1.0,47674.45,47674.45
C0091,Indali Soman,Wholesale,South,Hyderabad,2023-04-15,Active,Silver,3.8,Medium,COD,1.0,51761.01,51761.01
C0092,Utkarsh Guha,Retail,South,Chennai,2026-06-01,Inactive,Platinum,3.2,Low,COD,4.0,169941.86000000002,42485.465000000004
C0093,Yashica Nadkarni,Online,North,Jaipur,2025-02-04,Active,Silver,4.6,Medium,Net Banking,4.0,237839.1,59459.775
C0094,Ayaan Soni,Wholesale,East,Patna,2023-11-17,Active,Gold,4.5,Medium,Credit Card,8.0,462665.35,57833.16875
C0095,Guneet Varghese,Online,East,Patna,2025-12-20,Active,Platinum,3.2,High,UPI,0.0,0.0,0.0
C0096,Janya Date,Online,South,Chennai,2024-09-16,Active,Platinum,4.8,Low,COD,3.0,114830.12,38276.706666666665
C0097,Ethan Iyengar,Retail,East,Kolkata,2024-06-07,Inactive,Gold,4.1,High,Wallet,3.0,152477.04,50825.68
C0098,Krisha Thakkar,Retail,West,Pune,2025-02-09,Active,Silver,3.1,Low,UPI,4.0,440959.25,110239.8125
C0099,David Lal,Retail,East,Patna,2024-07-11,Active,Platinum,4.0,Low,Net Banking,2.0,91499.78,45749.89
C0100,Charvi Dara,Online,East,Patna,2025-05-02,Inactive,Silver,4.0,Low,Wallet,4.0,217898.8,54474.7
C0101,Nicholas Shanker,Retail,West,Mumbai,2026-01-17,Active,Platinum,3.7,High,UPI,2.0,205828.88,102914.44
C0102,Ekani Garg,Retail,East,Bhubaneswar,2025-09-11,Active,Platinum,3.9,Medium,Credit Card,4.0,425366.93000000005,106341.73250000001
C0103,Harshil Hayer,Retail,West,Ahmedabad,2025-11-28,Inactive,Platinum,3.3,Medium,Credit Card,1.0,20075.81,20075.81
C0104,Matthew Dara,Wholesale,South,Chennai,2023-07-31,Active,Platinum,3.0,Medium,Net Banking,6.0,541662.64,90277.10666666667
C0105,Vivaan Lanka,Online,West,Mumbai,2025-04-27,Active,Platinum,3.2,Medium,Net Banking,7.0,451407.61,64486.80142857142
C0106,Reva Raju,Wholesale,East,Bhubaneswar,2026-04-21,Inactive,Gold,3.8,High,COD,7.0,387245.02,55320.717142857146
C0107,Banjeet Deol,Online,West,Pune,2022-08-09,Active,Gold,5.0,High,COD,1.0,183640.92,183640.92
C0108,Ronith Gandhi,Online,East,Patna,2023-06-15,Inactive,Gold,3.0,High,Net Banking,3.0,187893.5,62631.166666666664
C0109,Jagrati Lala,Online,South,Chennai,2024-05-17,Active,Platinum,3.1,Low,Wallet,4.0,325315.15,81328.7875
C0110,Samar Krishnan,Retail,East,Kolkata,2024-07-06,Active,Platinum,3.7,Medium,UPI,5.0,261229.16,52245.832
C0111,Urvi Bora,Wholesale,East,Kolkata,2024-01-20,Active,Gold,3.3,Low,Wallet,3.0,296790.54000000004,98930.18000000001
C0112,Dayamai Nagy,Wholesale,West,Mumbai,2025-07-20,Inactive,Silver,3.4,Medium,Credit Card,3.0,168784.06,56261.35333333333
C0113,Jack Lata,Retail,East,Bhubaneswar,2024-09-04,Active,Platinum,3.8,Medium,COD,3.0,37308.69,12436.230000000001
C0114,Gunbir Palan,Retail,North,Delhi,2023-08-06,Active,Platinum,3.1,Low,Wallet,4.0,264344.76,66086.19
C0115,Vrinda Pillay,Online,South,Bengaluru,2025-01-15,Active,Gold,3.9,Medium,COD,3.0,243300.51,81100.17
C0116,Januja Chaudhuri,Retail,West,Pune,2024-07-21,Active,Platinum,3.7,Medium,Credit Card,5.0,420029.17,84005.834
C0117,Chaitanya Ray,Wholesale,North,Jaipur,2025-02-10,Active,Silver,3.7,Medium,Net Banking,0.0,0.0,0.0
C0118,Jeet Suri,Wholesale,South,Hyderabad,2023-02-21,Active,Silver,5.0,Low,Wallet,4.0,199373.03,49843.2575
C0119,Adya Mallick,Online,West,Mumbai,2022-11-04,Active,Gold,3.6,Medium,Net Banking,3.0,60651.58,20217.193333333333
C0120,Oliver Dada,Wholesale,South,Hyderabad,2024-07-31,Inactive,Platinum,4.1,High,COD,3.0,433398.97,144466.32333333333
C0121,Hredhaan Ranganathan,Online,North,Delhi,2023-02-17,Active,Gold,3.1,High,Wallet,4.0,338778.45,84694.6125
C0122,Damyanti Murty,Retail,East,Bhubaneswar,2026-03-07,Inactive,Platinum,5.0,Low,COD,4.0,155498.38,38874.595
C0123,Veda Acharya,Wholesale,West,Ahmedabad,2026-01-21,Active,Platinum,4.9,Low,Net Banking,3.0,291337.12,97112.37333333334
C0124,Omkaar Dhillon,Wholesale,East,Patna,2025-11-12,Active,Gold,4.1,Low,UPI,0.0,0.0,0.0
C0125,Inaya Sarin,Online,West,Pune,2023-06-03,Inactive,Platinum,3.8,High,Wallet,3.0,118869.13,39623.043333333335
C0126,Irya Kari,Wholesale,South,Chennai,2023-12-12,Active,Gold,4.1,High,COD,2.0,321112.09,160556.045
C0127,Chanakya Karnik,Online,West,Pune,2022-10-02,Active,Silver,4.4,Medium,Net Banking,2.0,148572.58000000002,74286.29000000001
C0128,Vinaya Balakrishnan,Online,West,Ahmedabad,2024-08-01,Active,Silver,3.5,Low,Wallet,1.0,129678.3,129678.3
C0129,Zaid Divan,Online,West,Mumbai,2025-01-31,Active,Silver,3.5,Low,Wallet,2.0,60463.4,30231.7
C0130,Krishna Kunda,Wholesale,East,Bhubaneswar,2025-11-10,Active,Gold,3.7,Low,Debit Card,4.0,575550.35,143887.5875
C0131,Ojas Pant,Retail,South,Bengaluru,2025-10-28,Active,Silver,4.1,Low,Wallet,2.0,385212.89,192606.445
C0132,Unnati Palla,Retail,North,Jaipur,2023-04-12,Active,Gold,3.7,High,Net Banking,3.0,341562.16,113854.05333333333
C0133,Krish Mallick,Online,West,Ahmedabad,2024-04-19,Active,Platinum,4.2,High,Debit Card,3.0,217455.77,72485.25666666667
C0134,Nathaniel Raja,Retail,South,Chennai,2025-11-18,Inactive,Platinum,3.8,Low,Credit Card,4.0,379545.62,94886.405
C0135,Veer Sankaran,Retail,South,Bengaluru,2022-09-05,Active,Gold,5.0,Low,Wallet,5.0,351760.69,70352.138
C0136,Ethan Mallick,Online,South,Chennai,2023-08-04,Active,Gold,3.1,High,Net Banking,4.0,118572.28,29643.07
C0137,Dakshesh Sarma,Retail,West,Ahmedabad,2025-05-01,Inactive,Platinum,3.6,Low,UPI,3.0,268344.09,89448.03000000001
C0138,Rushil Mallick,Wholesale,East,Patna,2023-04-03,Inactive,Gold,4.5,Medium,Debit Card,2.0,224551.59,112275.795
C0139,Darika Sankar,Online,South,Hyderabad,2025-04-10,Active,Gold,4.7,Low,UPI,4.0,615493.08,153873.27
C0140,Ikshita Pal,Retail,South,Bengaluru,2025-11-03,Inactive,Platinum,4.8,Medium,Credit Card,1.0,45949.55,45949.55
C0141,Mugdha Chakrabarti,Online,North,Chandigarh,2025-12-01,Active,Platinum,3.1,Medium,COD,3.0,78552.31,26184.103333333333
C0142,Dayita Agate,Retail,West,Mumbai,2026-05-08,Active,Silver,5.0,High,Wallet,3.0,224874.69,74958.23
C0143,Edhitha Nanda,Online,North,Chandigarh,2025-04-30,Active,Silver,4.8,Medium,COD,2.0,150015.76,75007.88
C0144,Parth Das,Online,East,Bhubaneswar,2024-02-25,Active,Platinum,4.4,Medium,Wallet,2.0,67064.54000000001,33532.270000000004
C0145,Zayyan Bali,Retail,South,Chennai,2022-11-01,Inactive,Gold,4.3,Medium,COD,1.0,166253.5,166253.5
C0146,Lakshmi Jayaraman,Wholesale,West,Mumbai,2024-04-19,Inactive,Platinum,3.2,Low,Wallet,4.0,329044.0,82261.0
C0147,Orinder Sekhon,Online,South,Bengaluru,2024-10-18,Active,Gold,3.4,High,Net Banking,4.0,144570.34,36142.585
C0148,Garima Buch,Online,East,Bhubaneswar,2025-01-13,Active,Gold,3.5,Low,UPI,7.0,351298.39,50185.48428571429
C0149,Irya Seth,Retail,North,Jaipur,2023-04-03,Inactive,Silver,4.0,Low,Debit Card,3.0,157752.1,52584.03333333333
C0150,Robert Rajan,Online,South,Bengaluru,2023-09-17,Inactive,Silver,3.2,Medium,COD,3.0,55872.92,18624.306666666667
C0151,Anvi Setty,Retail,West,Mumbai,2024-10-14,Active,Silver,4.3,Low,COD,2.0,82800.76000000001,41400.380000000005
C0152,Maya Zachariah,Wholesale,West,Mumbai,2026-06-20,Active,Gold,4.1,Medium,COD,4.0,102178.76000000001,25544.690000000002
C0153,Ganga Sami,Retail,North,Delhi,2025-03-02,Active,Silver,3.8,Medium,Credit Card,4.0,333977.58999999997,83494.39749999999
C0154,Saumya Mane,Online,West,Ahmedabad,2023-06-11,Active,Platinum,3.6,High,Wallet,3.0,117348.67,39116.223333333335
C0155,Isha Dora,Retail,South,Chennai,2026-06-09,Active,Platinum,3.8,Medium,Credit Card,2.0,96071.48,48035.74
C0156,Aryan Borra,Wholesale,North,Chandigarh,2026-06-06,Active,Silver,4.0,Medium,Credit Card,3.0,196350.03,65450.01
C0157,Upma Rout,Retail,South,Bengaluru,2026-06-16,Active,Silver,3.7,Low,Net Banking,2.0,150918.7,75459.35
C0158,Jeremiah Anne,Wholesale,East,Kolkata,2022-10-15,Inactive,Platinum,4.8,Medium,Wallet,7.0,581720.26,83102.89428571428
C0159,Gaurav Dua,Wholesale,North,Delhi,2023-03-30,Inactive,Silver,4.7,High,Wallet,5.0,490567.41000000003,98113.482
C0160,Vihaan Karpe,Retail,West,Ahmedabad,2026-06-23,Active,Platinum,4.3,Low,Debit Card,3.0,304986.6,101662.2
C0161,Ekapad Nazareth,Online,East,Kolkata,2025-09-16,Active,Silver,4.7,Medium,Debit Card,5.0,290656.57,58131.314
C0162,Balvan Deol,Wholesale,West,Ahmedabad,2025-11-08,Active,Gold,3.1,High,Net Banking,5.0,527758.0,105551.6
C0163,Charan Mukhopadhyay,Online,South,Bengaluru,2023-06-13,Active,Gold,4.3,Low,Debit Card,3.0,376954.51,125651.50333333334
C0164,Jagat Hora,Retail,East,Bhubaneswar,2022-11-10,Active,Gold,3.8,Low,Net Banking,4.0,499704.05000000005,124926.01250000001
C0165,Gaurika Mitter,Retail,South,Bengaluru,2022-09-01,Active,Platinum,3.6,Low,Credit Card,4.0,176596.28999999998,44149.072499999995
C0166,Darsh Chanda,Wholesale,West,Pune,2024-01-02,Inactive,Platinum,4.1,High,Wallet,0.0,0.0,0.0
C0167,Henry Rastogi,Online,West,Pune,2025-06-13,Inactive,Platinum,4.7,Low,Debit Card,6.0,300832.03,50138.67166666667
C0168,Vrinda Wable,Online,East,Kolkata,2024-09-15,Inactive,Gold,4.5,Low,Wallet,1.0,44248.09,44248.09
C0169,Tarak Chakrabarti,Wholesale,North,Jaipur,2026-02-28,Active,Silver,3.1,Medium,Net Banking,3.0,295486.29,98495.43
C0170,Jack Upadhyay,Online,North,Delhi,2024-08-05,Active,Platinum,3.5,High,Net Banking,6.0,761959.56,126993.26000000001
C0171,Henry Narula,Retail,South,Bengaluru,2025-12-03,Active,Gold,4.5,Low,Net Banking,1.0,41634.92,41634.92
C0172,Vamakshi Sama,Online,South,Chennai,2024-01-19,Active,Platinum,4.3,Low,UPI,3.0,318342.76,106114.25333333334
C0173,Udant Tak,Retail,South,Hyderabad,2023-12-08,Active,Gold,3.1,Low,Wallet,4.0,142603.27,35650.8175
C0174,Shivani Oak,Retail,West,Pune,2023-12-10,Active,Silver,4.4,Medium,Wallet,7.0,559232.22,79890.31714285714
C0175,Gabriel Sant,Online,North,Chandigarh,2025-10-22,Active,Silver,4.4,High,Wallet,4.0,402737.3,100684.325
C0176,Anay Sekhon,Retail,West,Mumbai,2025-11-11,Inactive,Platinum,4.3,Low,COD,6.0,490195.79,81699.29833333332
C0177,Brinda Rout,Online,North,Delhi,2025-02-19,Active,Silver,4.4,Low,Wallet,3.0,334038.39,111346.13
C0178,Sara Sampath,Retail,West,Pune,2026-04-28,Inactive,Platinum,4.9,Medium,Debit Card,1.0,38681.26,38681.26
C0179,Urvi Bumb,Retail,West,Ahmedabad,2023-04-05,Active,Gold,4.2,High,UPI,6.0,254194.53,42365.755
C0180,Upasna Ram,Retail,South,Hyderabad,2024-10-09,Active,Platinum,4.7,High,UPI,4.0,393171.3,98292.825
C0181,Warinder Wali,Wholesale,West,Mumbai,2023-08-16,Active,Platinum,3.2,Medium,Net Banking,2.0,54326.33,27163.165
C0182,Ayush Parmar,Retail,North,Chandigarh,2025-12-12,Active,Platinum,4.5,Medium,COD,4.0,484889.19,121222.2975
C0183,Udant Bhattacharyya,Wholesale,West,Ahmedabad,2026-04-14,Active,Silver,4.6,Low,Credit Card,5.0,333939.31,66787.862
C0184,Vansha Tak,Wholesale,East,Kolkata,2023-04-27,Active,Platinum,3.8,Low,Debit Card,6.0,359992.28,59998.71333333334
C0185,Samarth Sha,Retail,South,Hyderabad,2022-08-08,Active,Silver,3.7,Medium,Credit Card,3.0,171951.31,57317.10333333333
C0186,Forum Savant,Online,West,Mumbai,2026-05-19,Active,Gold,4.7,High,Wallet,2.0,107248.98,53624.49
C0187,David Saraf,Online,West,Mumbai,2023-08-02,Active,Silver,4.2,High,Debit Card,4.0,192813.63,48203.4075
C0188,Faraj Saini,Online,South,Hyderabad,2024-09-27,Active,Gold,4.5,Low,COD,6.0,496363.24,82727.20666666667
C0189,Yashoda Butala,Retail,South,Chennai,2024-09-27,Active,Silver,3.5,High,Wallet,2.0,268911.89999999997,134455.94999999998
C0190,Xiti Madan,Online,East,Patna,2023-05-10,Active,Gold,4.5,High,UPI,1.0,80190.0,80190.0
C0191,Viraj Dewan,Online,West,Ahmedabad,2024-06-03,Active,Platinum,3.7,Low,Debit Card,4.0,238793.83000000002,59698.457500000004
C0192,Isaac Sood,Retail,East,Kolkata,2023-08-05,Active,Gold,3.4,Low,Debit Card,2.0,138844.71,69422.355
C0193,Dayamai Ravi,Wholesale,South,Hyderabad,2023-03-20,Inactive,Platinum,3.5,High,COD,2.0,184738.04,92369.02
C0194,Vansha Butala,Online,North,Chandigarh,2022-10-14,Active,Platinum,4.3,High,UPI,8.0,339986.47000000003,42498.308750000004
C0195,Mekhala Ramesh,Retail,South,Bengaluru,2023-12-20,Active,Platinum,3.4,Medium,Debit Card,1.0,54240.72,54240.72
C0196,Balvan Mammen,Online,South,Bengaluru,2024-07-11,Active,Silver,3.5,High,Debit Card,3.0,191891.27999999997,63963.75999999999
C0197,Udarsh Raja,Retail,West,Pune,2025-02-16,Active,Silver,3.8,Medium,Wallet,4.0,362470.36,90617.59
C0198,Mason Krishna,Online,South,Bengaluru,2026-04-02,Inactive,Platinum,3.2,High,Credit Card,4.0,212061.96,53015.49
C0199,Yauvani Kapur,Online,East,Bhubaneswar,2022-10-12,Active,Silver,4.8,Low,Debit Card,5.0,159845.58,31969.115999999998
C0200,Watika Ganesh,Wholesale,South,Bengaluru,2024-07-20,Active,Gold,3.5,Medium,Net Banking,1.0,77102.64,77102.64
C0201,Waida Nair,Wholesale,West,Ahmedabad,2025-01-29,Active,Silver,3.9,High,Wallet,5.0,542194.52,108438.90400000001
C0202,Wakeeta Chawla,Online,East,Patna,2022-11-08,Inactive,Gold,4.3,Medium,Credit Card,5.0,312292.61,62458.522
C0203,Ira Nagar,Wholesale,North,Jaipur,2022-08-25,Active,Silver,4.6,High,Debit Card,4.0,355674.9,88918.725
C0204,Qarin Kibe,Retail,West,Pune,2024-01-03,Active,Silver,3.4,Medium,COD,1.0,111133.8,111133.8
